Date,Color,Rig Number,Region
12-13-2020,Red,595,West Texas
12-13-2020,Red,812,West Texas
12-13-2020,Red,812,West Texas
12-13-2020,Red,812,West Texas
12-20-2020,Orange,256,West Texas
12-20-2020,Orange,261,West Texas
12-20-2020,Orange,295,West Texas
12-20-2020,Orange,295,West Texas
12-20-2020,Orange,295,West Texas
12-20-2020,Orange,562,West Texas
12-20-2020,Orange,562,West Texas
12-20-2020,Orange,565,West Texas
12-20-2020,Orange,565,West Texas
12-20-2020,Orange,566,West Texas
12-20-2020,Orange,566,West Texas
12-20-2020,Orange,807,West Texas
12-20-2020,Orange,812,West Texas
12-20-2020,Red,295,West Texas
12-20-2020,Red,295,West Texas
12-20-2020,Red,815,West Texas
12-20-2020,Red,815,West Texas
12-27-2020,Orange,251,West Texas
12-27-2020,Orange,251,West Texas
12-27-2020,Orange,261,West Texas
12-27-2020,Orange,288,West Texas
12-27-2020,Orange,565,West Texas
12-27-2020,Orange,565,West Texas
12-27-2020,Orange,807,West Texas
12-27-2020,Orange,807,West Texas
12-27-2020,Orange,812,West Texas
12-27-2020,Orange,815,West Texas
12-27-2020,Red,288,West Texas
12-27-2020,Red,815,West Texas
01-03-2021,Orange,252,West Texas
01-03-2021,Orange,565,West Texas
01-03-2021,Orange,565,West Texas
01-03-2021,Orange,594,West Texas
01-03-2021,Orange,594,West Texas
01-03-2021,Orange,594,West Texas
01-03-2021,Orange,595,West Texas
01-03-2021,Orange,802,West Texas
01-03-2021,Orange,802,West Texas
01-03-2021,Orange,802,West Texas
01-03-2021,Orange,802,West Texas
01-03-2021,Orange,802,West Texas
01-03-2021,Orange,803,West Texas
01-03-2021,Red,253,West Texas
01-03-2021,Red,595,West Texas
01-03-2021,Red,595,West Texas
01-10-2021,Orange,252,West Texas
01-10-2021,Orange,562,West Texas
01-10-2021,Orange,562,West Texas
01-10-2021,Orange,594,West Texas
01-10-2021,Orange,802,West Texas
01-10-2021,Orange,803,West Texas
01-10-2021,Orange,807,West Texas
01-17-2021,Orange,252,West Texas
01-17-2021,Orange,253,West Texas
01-17-2021,Orange,256,West Texas
01-17-2021,Orange,261,West Texas
01-17-2021,Orange,562,West Texas
01-17-2021,Orange,562,West Texas
01-17-2021,Orange,562,West Texas
